itemId,title,globalId,primaryCategory/categoryId,primaryCategory/categoryName,galleryURL,viewItemURL,paymentMethod/0,autoPay,postalCode,location,country,shippingInfo/shippingServiceCost/_,shippingInfo/shippingServiceCost/$/currencyId,shippingInfo/shippingType,shippingInfo/shipToLocations,sellingStatus/currentPrice/_,sellingStatus/currentPrice/$/currencyId,sellingStatus/convertedCurrentPrice/_,sellingStatus/convertedCurrentPrice/$/currencyId,sellingStatus/bidCount,sellingStatus/sellingState,sellingStatus/timeLeft,listingInfo/bestOfferEnabled,listingInfo/buyItNowAvailable,listingInfo/startTime,listingInfo/endTime,listingInfo/listingType,listingInfo/gift,listingInfo/watchCount,distance/_,distance/$/unit,condition/conditionId,condition/conditionDisplayName,isMultiVariationListing,topRatedListing,eBayPlusEnabled,paymentMethod/1,paymentMethod/2,paymentMethod/3,galleryPlusPictureURL,listingInfo/buyItNowPrice/_,listingInfo/buyItNowPrice/$/currencyId,listingInfo/convertedBuyItNowPrice/_,listingInfo/convertedBuyItNowPrice/$/currencyId,productId/_,productId/$/type,paymentMethod/4,subtitle
154218948313,"Macbook Pro 13 (late 2016), SpaceGray 8GB, 256GB neue Teile (siehe Text)",EBAY-DE,111422,Apple Notebooks,https://thumbs2.ebaystatic.com/m/mrP9NGVynWp9WUBY8dB2DhA/140.jpg,https://www.ebay.de/itm/Macbook-Pro-13-late-2016-SpaceGray-8GB-256GB-neue-Teile-siehe-Text-/154218948313,CIPInCheckoutEnabled,false,331**,"Paderborn,Deutschland",DE,5.99,EUR,Flat,Worldwide,301.0,EUR,301.0,EUR,20,Active,P1DT4H34M49S,false,false,2020-11-29T19:00:44.000Z,2020-12-06T19:00:44.000Z,Auction,false,21,80.0,km,3000,Gebraucht,false,false,false,PayPal,MoneyXferAccepted,,,,,,,,,,
333814658081,"Apple MacBook Pro A1286 39,1 cm (15,4 Zoll) Laptop - MC118D/A (Juni, 2009)",EBAY-DE,111422,Apple Notebooks,https://thumbs2.ebaystatic.com/m/mjWpTiu5p03N4aJS0mloJJg/140.jpg,https://www.ebay.de/itm/Apple-MacBook-Pro-A1286-39-1-cm-15-4-Zoll-Laptop-MC118D-A-Juni-2009-/333814658081,CashOnPickup,false,288**,"Syke,Deutschland",DE,5.99,EUR,Flat,Worldwide,360.0,EUR,360.0,EUR,0,Active,P9DT20H50M6S,true,false,2020-12-05T11:16:01.000Z,2020-12-15T11:16:01.000Z,Auction,false,,70.0,km,2500,Vom Verkäufer generalüberholt,false,false,false,,,,,,,,,,,,
284104666482,Originalverpackung von Apple MacBook Pro 16 Zoll. Nur Leerkarton. ,EBAY-DE,111422,Apple Notebooks,https://thumbs3.ebaystatic.com/m/mN_Y3zcfeM0hq-L7cVqtSQA/140.jpg,https://www.ebay.de/itm/Originalverpackung-Apple-MacBook-Pro-16-Zoll-Nur-Leerkarton-/284104666482,CIPInCheckoutEnabled,false,336**,"Bielefeld,Deutschland",DE,4.99,EUR,Flat,Worldwide,1.0,EUR,1.0,EUR,0,Active,P6DT23H54M2S,false,false,2020-12-05T14:19:57.000Z,2020-12-12T14:19:57.000Z,Auction,false,,50.0,km,1500,Neu: Sonstige (siehe Artikelbeschreibung),false,false,false,PayPal,MoneyXferAccepted,,,,,,,17035187555,ReferenceID,,
224254508380,"DESIGN ULTRABOOK HP ELITEBOOK FOLIO 1020 M-5Y71 2,9GHz SSD 8GB WEBCAM WIN10 FHD",EBAY-DE,177,PC Notebooks & Netbooks,https://thumbs1.ebaystatic.com/m/m5O0F_DWjwMeFRUA43xNuEw/140.jpg,https://www.ebay.de/itm/DESIGN-ULTRABOOK-HP-ELITEBOOK-FOLIO-1020-M-5Y71-2-9GHz-SSD-8GB-WEBCAM-WIN10-FHD-/224254508380,CashOnPickup,false,301**,"Hannover,Deutschland",DE,6.99,EUR,Flat,Worldwide,239.99,EUR,239.99,EUR,,Active,P24DT20H39M54S,true,false,2020-11-30T11:05:49.000Z,2020-12-30T11:05:49.000Z,StoreInventory,false,1,70.0,km,3000,Gebraucht,false,false,false,,,,,,,,,,,,
383840377761,"Fujitsu Lifebook E752 Intel Core i5-3320M 2x 2,6GHz 15,6"" 8GB RAM 128GB SSD DVD",EBAY-DE,177,PC Notebooks & Netbooks,https://thumbs2.ebaystatic.com/m/m79wLSD1dF6A-GR9cPJAyhQ/140.jpg,https://www.ebay.de/itm/Fujitsu-Lifebook-E752-Intel-Core-i5-3320M-2x-2-6GHz-15-6-8GB-RAM-128GB-SSD-DVD-/383840377761,CIPInCheckoutEnabled,false,495**,"Bramsche,Deutschland",DE,0.0,EUR,Free,Worldwide,209.0,EUR,209.0,EUR,,Active,P28DT19H32M16S,true,false,2020-12-03T09:58:11.000Z,2021-01-03T09:58:11.000Z,FixedPrice,false,20,70.0,km,3000,Gebraucht,false,true,true,PayPal,PaymentSeeDescription,MoneyXferAccepted,,,,,,,,,Windows 10 Pro | WLAN | Bluetooth | Deutsche Tastatur
254765543651,"Lenovo Ultrapad Yoga 2 Pro 13,3"" Laptop QHD+ Touchscreen Intel Core i7 8GB 512GB",EBAY-DE,177,PC Notebooks & Netbooks,https://thumbs4.ebaystatic.com/m/m7zgFBA1pjimRttLVMPNpcw/140.jpg,https://www.ebay.de/itm/Lenovo-Ultrapad-Yoga-2-Pro-13-3-Laptop-QHD-Touchscreen-Intel-Core-i7-8GB-512GB-/254765543651,CIPInCheckoutEnabled,false,337**,"Schloß Holte-Stukenbrock,Deutschland",DE,0.0,EUR,Free,Worldwide,449.0,EUR,449.0,EUR,,Active,P27DT0H18M12S,false,false,2020-11-01T14:44:07.000Z,2021-01-01T14:44:07.000Z,FixedPrice,false,18,50.0,km,3000,Gebraucht,false,false,false,CashOnPickup,COD,MoneyXferAccepted,,,,,,,,,
164546013663,"Panasonic Toughbook CF-19 10,4 Zoll Notebook/Laptop Diagnoselaptop",EBAY-DE,177,PC Notebooks & Netbooks,https://thumbs4.ebaystatic.com/m/mxE0eIgUGuULaAerRt6-hLA/140.jpg,https://www.ebay.de/itm/Panasonic-Toughbook-CF-19-10-4-Zoll-Notebook-Laptop-Diagnoselaptop-/164546013663,CashOnPickup,false,288**,"Weyhe,Deutschland",DE,5.99,EUR,Flat,Worldwide,116.0,EUR,116.0,EUR,5,Active,P0DT22H34M49S,false,false,2020-11-29T13:00:44.000Z,2020-12-06T13:00:44.000Z,Auction,false,23,80.0,km,3000,Gebraucht,false,false,false,PayPal,,,,,,,,117290761,ReferenceID,,
184564164328,"Apple MacBook Pro A1286 15,4-Zoll 2,4 GHz i7 16 GB RAM 250 GB SSD 750 GB HDD",EBAY-DE,111422,Apple Notebooks,https://thumbs1.ebaystatic.com/m/mOAOx8CG_NdPJouzvoB82Gw/140.jpg,https://www.ebay.de/itm/Apple-MacBook-Pro-A1286-15-4-Zoll-2-4-GHz-i7-16-GB-RAM-250-GB-SSD-750-GB-HDD-/184564164328,CIPInCheckoutEnabled,false,272**,"Twistringen,Deutschland",DE,8.49,EUR,Flat,Worldwide,250.0,EUR,250.0,EUR,4,Active,P7DT22H34M55S,false,false,2020-12-03T13:00:50.000Z,2020-12-13T13:00:50.000Z,Auction,false,8,60.0,km,3000,Gebraucht,false,false,false,CashOnPickup,PayPal,MoneyXferAccepted,,,,,,110974392,ReferenceID,,
274569715006,"Lenovo V15-IIL 82C 15.6""/i3-1005G1/4/256SSD/NOOS",EBAY-DE,177,PC Notebooks & Netbooks,https://thumbs3.ebaystatic.com/m/mslsmCgcRM5ErrkXKMKXJ9Q/140.jpg,https://www.ebay.de/itm/Lenovo-V15-IIL-82C-15-6-i3-1005G1-4-256SSD-NOOS-/274569715006,CIPInCheckoutEnabled,false,323**,"Lübbecke,Deutschland",DE,0.0,EUR,Free,Worldwide,439.0,EUR,439.0,EUR,,Active,P5DT4H12M1S,false,false,2020-11-10T18:37:56.000Z,2020-12-10T18:37:56.000Z,FixedPrice,false,2,20.0,km,1000,Neu,false,false,true,CashOnPickup,PayPal,MoneyXferAccepted,,,,,,2310337002,ReferenceID,,
402564947922,Lenovo Legion Y520 i5-7300HQ 8GB RAM 128GB SSD 1TB HDD schwarz - Zustand gut,EBAY-DE,177,PC Notebooks & Netbooks,https://thumbs3.ebaystatic.com/m/mQm2-VdsP9BtUdYlHB9JEuA/140.jpg,https://www.ebay.de/itm/Lenovo-Legion-Y520-i5-7300HQ-8GB-RAM-128GB-SSD-1TB-HDD-schwarz-Zustand-gut-/402564947922,,true,283**,"Bremen,Deutschland",DE,0.0,EUR,Free,Worldwide,569.0,EUR,569.0,EUR,,Active,P13DT6H7M29S,false,false,2020-11-18T20:33:24.000Z,2020-12-18T20:33:24.000Z,FixedPrice,false,11,90.0,km,3000,Gebraucht,false,true,true,,,,,,,,,,,,
